Upc,Department,qty,cents,incltaxes,inclfees,Name,proper Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
840045201297,Tabbocco,1,599,n,n,Rogue mango pouches,Rogue Mango Pouches,,,n,1,0,0,n,,-2,,,,,,n,,,,,,,
840045208043,Tabbocco,1,399,n,n,ROGUE peppermint pouches,Rogue Peppermint Pouches,6mg,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
840045208074,Tabbocco,1,399,n,n,Rogue wintergreen pouches,Rogue Wintergreen Pouches,6mg,,n,1,0,0,n,,-3,,,,,0,n,,,,,,,
840045208104,Tabbocco,1,399,n,n,Rogue spearmint pouches,Rogue Spearmint Pouches,6mg,,n,1,0,0,n,,-3,,,,,0,n,,,,,,,
840048202963,juul,1,1499,n,n,JUUL PODS MENTHOL 3% 4PK,JUUL PODS Menthol 3% 4-pack,CT,,n,1,1,0,n,,0,,,,,,n,,,,,,,
840078500121,Sundries,1,1999,n,n,Cbd oil,Cbd Oil,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840078501500,Sundries,1,1999,n,n,Cbd oil,Cbd Oil,,,n,1,0,0,n,,1,,,,,,n,,,,,,,
840078511516,Sundries,1,1999,n,n,Cbd oil,Cbd Oil,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840078511523,Snacks /candy,1,149,n,n,Candy,Candy,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
840078511752,Sundries,1,1999,n,n,Cbd oil,Cbd Oil,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840078562242,Sundries,1,1999,n,n,Cbd oil,Cbd Oil,,,n,1,0,0,n,,6,,,,,,n,,,,,,,
840078564765,Sundries,1,1299,n,n,CBD Capsules 5 ,CBD Capsules 5,,,n,1,0,0,n,,5,,,,,,n,,,,,,,
840078564932,Sundries,1,1499,n,n,Hemp,Hemp,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840078565175,Sundries,1,1999,n,n,hemp,Hemp,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840078566196,Tabbocco,1,1099,n,n,Cbd dog chews,Cbd Dog Chews,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840078566295,Sundries,1,1999,n,n,Cbd oil,Cbd Oil,,,n,1,0,0,n,,6,,,,,,n,,,,,,,
840078566486,Sundries,1,999,n,n,Cbd gummies,Cbd Gummies,8pk,,n,1,0,0,n,,3,,,,,,n,,,,,,,
840078566608,Sundries,1,999,n,n,CBD Gummies 120mg 8 count,CBD Gummies 120mg 8 Count,8pk,,n,1,0,0,n,,2,,,,,,n,,,,,,,
840078566721,Sundries,1,1299,n,n,Cbd gummies,Cbd Gummies,,,n,1,0,0,n,,2,,,,,,n,,,,,,,
840078568190,Sundries,1,599,n,n,Gummies,Gummies,,,n,1,0,0,n,,5,,,,,0,n,,,,,,,
840078568206,Sundries,1,599,n,n,Gummies,Gummies,,,n,1,0,0,n,,6,,,,,0,n,,,,,,,
840078568213,Sundries,1,599,n,n,Apple cider vinegar Gummies,Apple Cider Vinegar Gummies,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840078568220,Sundries,1,599,n,n,Gummies,Gummies,,,n,1,0,0,n,,6,,,,,0,n,,,,,,,
840094600157,Sundries,1,1699,n,n,Naked hawaiianpog,Naked Hawaiianpog,12mg,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
840094600393,Sundries,1,1699,n,n,Naked strawberry pom,Naked Strawberry Pom,12mg,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840094600553,Sundries,1,1699,n,n,naked berry,Naked Berry,12mg,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840094601536,Sundries,1,1699,n,n,Naked crisp menthol 12mg,Naked Crisp Menthol 12mg,12mg,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840110700007,Sundries,1,499,n,n,Zengaz,Zengaz,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840124111622,Food,1,299,n,n,Twinkle heart pop candy,Twinkle Heart Pop Candy,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840124140189,Energy Drink,1,699,n,n,K Chill,K Chill,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840124140257,Sundries,1,999,n,n,K chill,K Chill,,,n,1,0,0,n,,11,,,,,0,n,,,,,,,
840124140288,Sundries,1,999,n,n,K chill,K Chill,,,n,1,0,0,n,,12,,,,,0,n,,,,,,,
