Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,"Fee Multiplier",cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
"=""083664868919""","Liquor ",1,3299,n,n,"Leyenda Del Milagro Silver Tequila","750 ml",,n,1,1,0,n,,"=""3""",,,,,,n,,,,,,,
"=""083664868933""","Liquor ",1,6199,n,n,"Milagro Reposado Tequila 1.75L",1.75liter,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083664868940""","Liquor ",1,3499,n,n,"LEYENDA DEL MILAGRO REPOSADO","750 ML",,n,1,1,0,n,,"=""4""",,,,,,n,,,,,,,
"=""083664868971""","Liquor ",1,4499,n,n,"Leyenda del Milagro Tequila anejo",750ml,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083664869121""","Liquor ",1,899,n,n,"Sailor Jerry Spiced Rum","375 ml",,n,1,1,0,n,,"=""5""",,,,,,n,,,,,,,
"=""083664869138""","Liquor ",1,599,n,n,"Sailor Jerry Spiced Rum","200 ml",,n,1,1,0,n,,"=""-45""",,,,,,n,,,,,,,
"=""083664869213""","Liquor ",1,2299,n,n,"Reyka vodka",750ml,,n,1,1,0,n,,"=""1""",,,,,0,n,,,,,,,
"=""083664869220""","Liquor ",1,499,n,n,"Reyka vodka",50ml,,n,1,0,0,n,,"=""7""",,,,,0,n,,,,,,,
"=""083664869619""","Liquor ",1,99,n,n,"Sailor Jerry Spiced Rum","50 ml",,n,1,0,0,n,,"=""220""",,,,,,n,,,,,,,
"=""083664869640""","Liquor ",1,4299,n,n,"LEYENDA DEL MILAGRO SILVER 750ML",750ml,,n,1,1,0,n,,"=""6""",,,,,0,n,,,,,,,
"=""083664869725""","Liquor ",1,4099,n,n,"Reyka Vodka 1.75L",1.75L,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083664869756""","Liquor ",1,9399,n,n,"HENDRICKS GIN  1.75ML",1.75L,,n,1,1,0,n,,"=""4""",,,,,,n,,,,,,,
"=""083664869800""","Liquor ",1,1899,n,n,"Raynal VSOP brandy",750ml,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083664870202""","Liquor ",1,3599,n,n,"SOLERNO Blood orange liqueur",750ml,,n,1,1,0,n,,"=""3""",,,,,,n,,,,,,,
"=""083664871681""","Liquor ",1,10699,n,n,"THE BALVENIE Aged 14 Years","750 ml",,n,1,1,0,n,,"=""4""",,,,,0,n,,,,,,,
"=""083664871926""","Liquor ",1,2199,n,n,"stoli vanillla",750ml,,n,1,1,0,n,,"=""1""",,,,,,n,,,,,,,
"=""083664872459""","Liquor ",1,299,n,n,"TULLAMORE DEW IRISH WHISKEY 50ML",50ml,,n,1,1,0,n,,"=""99""",,,,,0,n,,,,,,,
"=""083664872466""","Liquor ",1,2299,n,n,"TULLAMORE DEW irish wiskey","750 ML",,n,1,1,0,n,,"=""-81""",,,,,,n,,,,,,,
"=""083664872473""","Liquor ",1,3499,n,n,"Tullamore dew irish whiskey",750ml,,n,1,0,0,n,,"=""3""",,,,,0,n,,,,,,,
"=""083664872497""","Liquor ",1,4399,n,n,"TRULLAMORE D.E.W.","1.75 ML",,n,1,1,0,n,,"=""-4""",,,,,0,n,,,,,,,
"=""083664872510""","Liquor ",1,4899,n,n,"Tullamore D.E.W. 12 years","750 ML",,n,1,1,0,n,,"=""4""",,,,,,n,,,,,,,
"=""083664872541""","Liquor ",1,3599,n,n,"Monkey Shoulder",750ml,,n,1,1,0,n,,"=""-5""",,,,,,n,,,,,,,
"=""083664872558""","Liquor ",1,2799,n,n,"Gibson Finest",750ml,,n,1,1,0,n,,"=""-16""",,,,,0,n,,,,,,,
"=""083664872633""","Liquor ",1,1499,n,n,"Stoli sticki",1.0L,,n,1,0,0,n,,"=""2""",,,,,,n,,,,,,,
"=""083664873159""","Liquor ",1,17000,n,n,"GLENFIDDICH 19 yrs 750",750ml,,n,1,1,0,n,,"=""2""",,,,,0,n,,,,,,,
"=""083664873166""","Liquor ",1,2999,n,n,"ANCHO REYES 750ML",750ml,,n,1,1,0,n,,"=""2""",,,,,0,n,,,,,,,
"=""083664873197""","Liquor ",1,14999,n,n,"The Balvenie15 years ",750ml,,n,1,1,0,n,,"=""6""",,,,,,n,,,,,,,
"=""083664873296""","Liquor ",1,11999,n,n,"GLENFIDDICH SINGLE MALT 1963 750",750ml,,n,1,1,0,n,,"=""1""",,,,,0,n,,,,,,,
"=""083664873449""","Liquor ",1,2099,n,n,"HENDRICKS 375ML",375ml,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083664873456""","Liquor ",1,4899,n,n,"GLENFIDDICH GIFT BAG",3pack,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083664873463""","Liquor ",1,6999,n,n,"Glenfiddich 14 Years Old",750ml,,n,1,1,0,n,,"=""4""",,,,,,n,,,,,,,
"=""083664873562""","Liquor ",1,14199,n,n,"TULLAMORE DEW SINGLE MALT",750ml,,n,1,1,0,n,,"=""1""",,,,,0,n,,,,,,,
"=""083664873623""","Liquor ",1,4099,n,n,"Drambuie 750",750ml,,n,1,1,0,n,,"=""-10""",,,,,,n,,,,,,,
"=""083664873647""","Liquor ",1,2799,n,n,"Drambuie liQuer",375ml,,n,1,0,0,n,,"=""11""",,,,,0,n,,,,,,,
"=""083664873678""","Liquor ",1,4199,n,n,"HENDRICKS GIN ORBIUM 750ML",750ML,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083664873685""","Liquor ",1,2999,n,n,"Ancho reyes verde",750ml,,n,1,0,0,n,,"=""4""",,,,,0,n,,,,,,,
"=""083664873722""","Liquor ",1,1299,n,n,"TULLAMORE DEW IRISH 375ML",375ml,,n,1,1,0,n,,"=""-9""",,,,,0,n,,,,,,,
